Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,22.750000,23.799999,19.480000,20.049999,20.049999,61185600
2020-12-17,21.500000,23.900000,21.100000,22.270000,22.270000,28890900
2020-12-18,23.090000,24.750000,23.055000,23.549999,23.549999,16525600
2020-12-21,23.875000,24.150000,22.809999,23.150000,23.150000,8260600
2020-12-22,23.770000,23.799999,21.700001,22.190001,22.190001,6211300
2020-12-23,22.219999,22.500000,20.920000,20.940001,20.940001,6181100
2020-12-24,21.061001,21.150000,19.920000,20.090000,20.090000,4099700
2020-12-28,20.420000,21.724001,19.570000,19.610001,19.610001,6403300
2020-12-29,19.889999,19.900000,18.160000,18.639999,18.639999,7978400
2020-12-30,18.639999,19.025000,17.500000,17.580000,17.580000,8941300
2020-12-31,17.639999,18.379999,17.410000,18.240000,18.240000,7855800
2021-01-04,18.530001,19.299999,17.820000,19.240000,19.240000,5888700
2021-01-05,18.840000,20.190001,18.750000,19.799999,19.799999,4642700
2021-01-06,20.000000,20.980000,19.799999,20.820000,20.820000,6197300
2021-01-07,21.049999,21.580000,20.150000,20.930000,20.930000,4102100
2021-01-08,20.730000,21.139999,19.700001,20.360001,20.360001,5687900
2021-01-11,19.802999,20.200001,19.139999,19.610001,19.610001,4180400
2021-01-12,19.799999,21.000000,19.799999,20.940001,20.940001,5734200
2021-01-13,20.940001,24.605000,20.900000,23.920000,23.920000,10829500
2021-01-14,24.360001,28.250000,23.780001,28.129999,28.129999,14426700
2021-01-15,26.690001,27.100000,24.400000,24.834999,24.834999,9589100
2021-01-19,25.680000,26.990000,25.000000,26.090000,26.090000,4525200
2021-01-20,26.139999,26.500000,25.600000,25.850000,25.850000,3312600
2021-01-21,25.730000,26.018000,24.450001,24.840000,24.840000,3079500
2021-01-22,24.270000,25.170000,23.900000,24.750000,24.750000,2740400
2021-01-25,25.469999,29.370001,25.250000,25.650000,25.650000,9439300
2021-01-26,26.950001,27.969999,26.600000,27.100000,27.100000,3938900
2021-01-27,26.490000,31.490000,26.400000,29.990000,29.990000,8895300
2021-01-28,30.120001,32.849998,28.200001,28.450001,28.450001,6080000
2021-01-29,28.900000,30.400000,28.750000,30.070000,30.070000,3846200
2021-02-01,31.850000,32.200001,30.180000,31.190001,31.190001,2925300
2021-02-02,32.000000,32.180000,28.280001,29.150000,29.150000,4313200
2021-02-03,29.230000,30.230000,28.870001,28.990000,28.990000,1886300
2021-02-04,29.150000,29.670000,28.520000,29.299999,29.299999,1410500
2021-02-05,29.770000,30.000000,28.400000,28.600000,28.600000,2513600
2021-02-08,29.049999,29.170000,27.299999,28.209999,28.209999,3362700
2021-02-09,27.660000,30.250000,27.610001,29.530001,29.530001,2284500
2021-02-10,29.700001,30.879999,28.309999,28.680000,28.680000,2327500
2021-02-11,28.600000,29.750000,27.940001,28.080000,28.080000,1939400
2021-02-12,28.010000,28.627001,27.350000,27.450001,27.450001,1586600
2021-02-16,28.070000,28.770000,26.370001,26.559999,26.559999,3188700
2021-02-17,26.650000,26.650000,24.139999,24.150000,24.150000,7530500
2021-02-18,23.670000,24.000000,22.150000,22.240000,22.240000,8012300
2021-02-19,22.940001,22.940001,21.250000,22.260000,22.260000,16977600
2021-02-22,21.695000,22.730000,21.459999,22.010000,22.010000,4384300
2021-02-23,21.010000,21.350000,19.770000,21.170000,21.170000,4411000
2021-02-24,21.360001,21.389999,20.280001,20.420000,20.420000,5331100
2021-02-25,20.020000,20.900000,18.680000,18.969999,18.969999,7810300
2021-02-26,19.000000,19.795000,18.080000,19.610001,19.610001,12422100
2021-03-01,20.139999,20.500000,19.420000,19.580000,19.580000,4431100
2021-03-02,19.670000,19.820000,18.500000,18.820000,18.820000,4152300
2021-03-03,18.760000,18.934999,17.615000,17.990000,17.990000,3576400
2021-03-04,17.669001,18.240000,16.340000,17.139999,17.139999,5528400
2021-03-05,17.290001,17.900000,15.060000,17.770000,17.770000,6696900
2021-03-08,17.570000,18.180000,15.500000,15.940000,15.940000,10165200
2021-03-09,17.389999,17.459999,15.710000,16.990000,16.990000,10241200
2021-03-10,16.870001,17.100000,15.700000,16.629999,16.629999,10531300
2021-03-11,16.999001,19.350000,16.950001,19.110001,19.110001,11563700
2021-03-12,18.190001,18.900000,17.520000,18.639999,18.639999,5189200
2021-03-15,18.850000,20.110001,18.790001,19.110001,19.110001,7899800
2021-03-16,19.320000,20.090000,17.809999,18.340000,18.340000,5330000
2021-03-17,17.930000,19.120001,17.660000,18.840000,18.840000,3425900
2021-03-18,18.170000,18.400000,17.120001,17.260000,17.260000,5797900
2021-03-19,17.420000,18.040001,16.830999,17.860001,17.860001,7467500
2021-03-22,17.900000,18.219999,17.459999,17.980000,17.980000,3805000
2021-03-23,17.820000,17.870001,16.455000,16.559999,16.559999,4110800
2021-03-24,16.650000,17.030001,16.030001,16.299999,16.299999,5358300
2021-03-25,15.654000,16.280001,15.550000,15.760000,15.760000,4888200
2021-03-26,15.860000,16.459999,15.570000,16.209999,16.209999,4904900
2021-03-29,16.020000,16.139999,15.240000,15.260000,15.260000,3996900
2021-03-30,15.190000,15.250000,14.420000,15.100000,15.100000,4666200
2021-03-31,15.440000,16.230000,15.275000,15.800000,15.800000,4800300
2021-04-01,16.110001,16.620001,15.640000,15.650000,15.650000,4564800
2021-04-05,15.904000,15.988000,15.150000,15.320000,15.320000,2803300
2021-04-06,15.520000,15.940000,15.385000,15.520000,15.520000,2795100
2021-04-07,15.510000,15.530000,14.260000,14.330000,14.330000,6824300
2021-04-08,14.500000,14.920000,13.960000,14.080000,14.080000,8075400
